上市编号,上市公司名,违纪类型,红头文件
600818,中路股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/88b4220f-f421-4c1f-b4fb-e211db40c3cc.pdf
600359,新农开发,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/a5060f20-5552-4b4c-afb2-134002dc0429.pdf
600359,新农开发,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/7f5c8498-2265-403c-97c3-d55f9a9e3971.pdf
600260,ST凯乐,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/2b6edc77-adf5-4395-bb2b-eda5e84ad271.pdf
603098,森特股份,监管工作函,NO SUCH FILE!
600322,天房发展,监管工作函,NO SUCH FILE!
601727,上海电气,监管工作函,NO SUCH FILE!
600804,鹏博士,监管工作函,NO SUCH FILE!
600525,长园集团,监管工作函,NO SUCH FILE!
600166,福田汽车,监管工作函,NO SUCH FILE!
600881,亚泰集团,监管工作函,NO SUCH FILE!
600811,东方集团,监管工作函,NO SUCH FILE!
600190,锦州港,监管工作函,NO SUCH FILE!
600187,国中水务,监管工作函,NO SUCH FILE!
603393,新天然气,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/cb594021-58c7-48b3-be7b-2100115b8491.pdf
600580,卧龙电驱,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/3d8126b8-87a2-4999-afe2-2606b6482bbb.pdf
603386,广东骏亚,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/af57deb8-fad1-497e-8de4-8544b1b197e2.pdf
603390,通达电气,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/403a2139-51a8-4cd1-9cb9-a5e46a22bc46.pdf
600213,亚星客车,监管工作函,NO SUCH FILE!
600100,同方股份,监管工作函,NO SUCH FILE!
688100,威胜信息,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/3a300c5b-1bd6-4024-8221-624a04219a95.pdf
600715,文投控股,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/2e242257-710a-4260-8d6a-2aef1aa697dc.pdf
600360,华微电子,监管工作函,NO SUCH FILE!
603268,松发股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/8db5f45b-7f9d-43cb-947b-130d8cfed654.pdf
600962,国投中鲁,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/f637649e-7434-487a-beea-370e73257924.pdf
600152,维科技术,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/6c62a35a-fe00-4416-8c06-14d07a76f033.pdf
600080,金花股份,监管工作函,NO SUCH FILE!
600890,*ST中房,监管工作函,NO SUCH FILE!
600478,科力远,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/c0349e5d-c974-40a2-8f3c-44564f0bb2ec.pdf
600083,*ST博信,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/383aab72-ff65-4737-bef0-e3d5bd6e524e.pdf
603506,南都物业,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/b2539178-2fce-40a0-aa3d-9213284e2e51.pdf
603300,华铁应急,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/80521263-a568-40e5-b19c-102c6af6d715.pdf
